incorrect,correct,incorrect_cleaned,correct_cleaned
তুমি বইটা পড়ছে?,তুমি কি বইটা পড়ছো?,"['বই', 'পড়']","['বই', 'পড়ছো']"
আমি বাজারে গেলাম না যায়।,আমি বাজারে যাইনি।,"['বাজার', '।']","['বাজার', '।']"
সে ভালো খেলো করলো।,সে ভালো খেলেছে।,"['ভালো', '।']","['ভালো', '।']"
আমার তোমাকে দেখা হয়।,আমার তোমার সাথে দেখা হয়েছে।,"['তোমা', 'দেখা', '।']","['দেখা', '।']"
আমি জল খাব। খাই।,আমি জল খাচ্ছি।,"['জল', '।', '।']","['জল', '।']"
সে গাড়ি চলাইছে।,সে গাড়ি চালাচ্ছে।,"['গাড়ি', 'চলাই', '।']","['গাড়ি', 'চালা', '।']"
তুমি এখানে আসে?,তুমি কি এখানে আসো?,['আস'],['আসো']
আমি স্কুল যাইতে পারবো না।,আমি স্কুলে যেতে পারব না।,"['স্কুল', 'যাই', 'পারবো', '।']","['স্কুল', 'যাতা', 'পার', '।']"
সে গান গাইতেছে।,সে গান গাইছে।,"['গান', 'গাইত', '।']","['গান', 'গাই', '।']"
তুমি কবে আসছে?,তুমি কবে আসবে?,"['কব', 'আস']","['কব', 'আসব']"
আমরা খেলা দেখা গেছিলাম।,আমরা খেলা দেখতে গিয়েছিলাম।,"['খেলা', 'দেখা', 'গেছিলাম', '।']","['খেলা', 'দেখ', 'গিয়েছিলাম', '।']"
তোমার নাম কি আছো?,তোমার নাম কী?,"['নাম', 'আছো']",['নাম']
সে সবসময় দেরি করতেছে।,সে সবসময় দেরি করছে।,"['সবসম', 'দেরি', 'করত', '।']","['সবসম', 'দেরি', '।']"
আমরা সিনেমা দেখা যাই।,আমরা সিনেমা দেখতে যাই।,"['সিনেমা', 'দেখা', 'যা', '।']","['সিনেমা', 'দেখ', 'যা', '।']"
তারা বই পড়তেছে।,তারা বই পড়ছে।,"['ব', 'পড়ত', '।']","['ব', 'পড়', '।']"
আমি ভাত খাইতেছি।,আমি ভাত খাচ্ছি।,"['ভাত', 'খাইতে', '।']","['ভাত', '।']"
তুমি কোথায় গেছিলে?,তুমি কোথায় গিয়েছিলে?,['গেছিল'],['গিয়েছিল']
সে আমায় দেখে ছিল।,সে আমায় দেখেছিল।,"['আমায়', 'দাখা', '।']","['আমায়', 'দেখ', '।']"
তারা বাজার গেছিল।,তারা বাজারে গিয়েছিল।,"['বাজ', 'গ', '।']","['বাজার', 'গিয়', '।']"
তুমি আমারে ভালো লাগো।,তুমি আমাকে ভালোবাসো।,"['আমার', 'ভালো', 'লাগো', '।']","['আমা', 'ভালোবাসো', '।']"
তুমি বাস যায়।,তুমি বাসে যাও।,"['বাস', '।']","['বাস', 'যা', '।']"
আমরা সিনেমা দেখা যায়।,আমরা সিনেমা দেখতে যাই।,"['সিনেমা', 'দেখা', '।']","['সিনেমা', 'দেখ', 'যা', '।']"
আমি স্কুলে না যায়।,আমি স্কুলে যাই না।,"['স্কুল', '।']","['স্কুল', 'যা', '।']"
সে কি করতেছে?,সে কী করছে?,['করত'],[]
তারা খেলা খেলতেছে।,তারা খেলা খেলছে।,"['খেলা', 'খেলত', '।']","['খেলা', 'খেল', '।']"
তুমি আমাকে ফোন দিলা?,তুমি কি আমাকে ফোন করেছিলে?,"['আমা', 'ফোন', 'দিলা']","['আমা', 'ফোন', 'করেছিল']"
আমি ভাত খাইয়া আসছি।,আমি ভাত খেয়ে এসেছি।,"['ভাত', 'খাইয়া', 'আস', '।']","['ভাত', 'খেয়', 'এসে', '।']"
সে আজ আইছে না।,সে আজ আসেনি।,"['আজ', 'আই', '।']","['আজ', 'আসেনি', '।']"
তোমার কথা ভাবি ছিলাম।,আমি তোমার কথা ভাবছিলাম।,"['কথা', 'ভা', 'ছিলাম', '।']","['কথা', 'ভাবছিলাম', '।']"
আমরা একসাথে খাইতাম।,আমরা একসাথে খেতাম।,"['একসাথ', 'খাইতাম', '।']","['একসাথ', 'খেতাম', '।']"
তুমি কাল আইছো?,তুমি কি কাল এসেছিলে?,"['কাল', 'আইছো']","['কাল', 'এসেছিল']"
তোমার বইটা পড়া হইছে?,তোমার বইটা পড়া হয়েছে?,"['বই', 'পড়া', 'হই']","['বই', 'পড়া']"
সে খেলতে থাকছে।,সে খেলছে।,"['খেল', 'থাক', '।']","['খেল', '।']"
আমরা পড়ি থাকি।,আমরা পড়ছি।,"['পড়ি', 'থাকি', '।']","['পড়', '।']"
তারা গাইতেছে গান।,তারা গান গাইছে।,"['গাইত', 'গান', '।']","['গান', 'গাই', '।']"
আমি তোমাকে বলি নাই।,আমি তোমাকে বলিনি।,"['তোমা', 'ব', 'না', '।']","['তোমা', 'বলিনি', '।']"
তুমি আমারে দেখো না।,তুমি আমাকে দেখো না।,"['আমার', 'দেখো', '।']","['আমা', 'দেখো', '।']"
সে ঘরে না যায়।,সে ঘরে যায় না।,"['ঘর', '।']","['ঘর', '।']"
তারা বন্ধু ছিলা।,তারা বন্ধু ছিল।,"['বন্ধু', 'ছিলা', '।']","['বন্ধু', '।']"
তুমি আজকে আইছো?,তুমি কি আজ এসেছো?,"['আজ', 'আইছো']","['আজ', 'এসেছো']"
আমি কালকে যাব না যাব।,আমি কালকে যাব না।,"['কাল', 'যাব', 'যাব', '।']","['কাল', 'যাব', '।']"
তুমি কথা বলতেছে।,তুমি কথা বলছো।,"['কথা', 'বলত', '।']","['কথা', 'বলছো', '।']"
সে আমায় ডাকে ছিল।,সে আমায় ডাকছিল।,"['আমায়', 'ডা', '।']","['আমায়', 'ডাকছিল', '।']"
তারা ঘুমাইতেছে।,তারা ঘুমাচ্ছে।,"['ঘুমাইত', '।']","['ঘুমা', '।']"
তুমি আমাকে দেখা পারো?,তুমি কি আমাকে দেখতে পারো?,"['আমা', 'দেখা', 'পারো']","['আমা', 'দেখ', 'পারো']"
আমি বাস ধরছি না পারছে।,আমি বাস ধরতে পারিনি।,"['বাস', 'ধর', 'পার', '।']","['বাস', 'ধর', 'পারিনি', '।']"
সে ছবি আঁকতেছে।,সে ছবি আঁকছে।,"['ছ', 'আঁকত', '।']","['ছ', 'আঁক', '।']"
তারা কোথা যাইতেছে।,তারা কোথায় যাচ্ছে?,"['কোথা', 'যাইত', '।']",['যা']
তুমি এই কাজ করো না পারো?,তুমি কি এই কাজ করতে পারো না?,"['কাজ', 'করো', 'পারো']","['কাজ', 'কর', 'পারো']"
সে খেলতেছে না ঘুমাচ্ছে?,সে খেলছে না ঘুমাচ্ছে?,"['খেলত', 'ঘুমা']","['খেল', 'ঘুমা']"
আমি খাইতেছি ভাত।,আমি ভাত খাচ্ছি।,"['খাইতে', 'ভাত', '।']","['ভাত', '।']"
তুমি বাসে যাইতেছিলে?,তুমি কি বাসে যাচ্ছিলে?,"['বাস', 'যাইতেছিল']","['বাস', 'যাচ্ছিল']"
তারা আমারে বলছে নাই।,তারা আমাকে বলেনি।,"['আমার', 'না', '।']","['আমা', 'বলেনি', '।']"
সে আসতেছে না আসছে?,সে আসছে না কি?,"['আসত', 'আস']",['আস']
আমি গান শুনতেছি।,আমি গান শুনছি।,"['গান', 'শুনতে', '।']","['গান', 'শুন', '।']"
তুমি পড়তেছো বইটা?,তুমি কি বইটা পড়ছো?,"['পড়তেছো', 'বই']","['বই', 'পড়ছো']"
সে দৌড়াইতেছে।,সে দৌড়াচ্ছে।,"['দৌড়াইত', '।']","['দৌড়া', '।']"
তারা ঘুরতেছে।,তারা ঘুরছে।,"['ঘুরত', '।']","['ঘুর', '।']"
আমি যেতে চাই না যাব।,আমি যেতে চাই না।,"['যাতা', 'চা', 'যাব', '।']","['যাতা', 'চা', '।']"
তুমি কোথায় থাকো ছিলে?,তুমি কোথায় ছিলে?,"['থাকো', 'ছিল']",['ছিল']
সে সব কিছু জানে না জানে।,সে সব কিছু জানে না।,"['সব', 'জান', 'জান', '।']","['সব', 'জান', '।']"
তুমি আমাকে ভালো লাগে।,তুমি আমাকে ভালোবাসো।,"['আমা', 'ভালো', 'লাগ', '।']","['আমা', 'ভালোবাসো', '।']"
তারা পড়ে না পড়ে।,তারা পড়ে না।,"['পড়', 'পড়', '।']","['পড়', '।']"
তুমি খাবার খাইছো?,তুমি কি খাবার খেয়েছো?,"['খাব', 'খাইছো']","['খাব', 'খেয়েছো']"
সে আসে নাই।,সে আসেনি।,"['আস', 'না', '।']","['আসেনি', '।']"
আমি ভাত রান্না করতেছি।,আমি ভাত রান্না করছি।,"['ভাত', 'রান্না', 'করতে', '।']","['ভাত', 'রান্না', 'কর', '।']"
তারা এখানে আসে।,তারা এখানে আসে।,"['আস', '।']","['আস', '।']"
তুমি আবার আইবা?,তুমি কি আবার আসবে?,"['আব', 'আইবা']","['আব', 'আসব']"
আমি স্কুল যাইতেছি।,আমি স্কুলে যাচ্ছি।,"['স্কুল', 'যাইতে', '।']","['স্কুল', 'যা', '।']"
তুমি কারে দেখলা?,তুমি কাকে দেখলে?,"['কার', 'দেখলা']",['দেখল']
সে বসে আছে না শুয়ে?,সে বসে আছে না শুয়ে আছে?,"['বস', 'আ', 'শুয়']","['বস', 'আ', 'শুয়', 'আ']"
তারা আমারে চিনে না চেনে।,তারা আমাকে চেনে না।,"['আমার', 'চিন', 'চানা', '।']","['আমা', 'চানা', '।']"
তুমি কবে যাইবা?,তুমি কবে যাবে?,"['কব', 'যাইবা']",['কব']
আমরা খাওয়া শুরু করতেছি।,আমরা খাওয়া শুরু করেছি।,"['খাওয়া', 'শুরু', 'করতে', '।']","['খাওয়া', 'শুরু', 'করে', '।']"
সে গান শুনতেছে না গাইতেছে?,সে গান শুনছে না গাইছে?,"['গান', 'শুনত', 'গাইত']","['গান', 'শুন', 'গাই']"
তারা খেলা দেখা যায়।,তারা খেলা দেখতে যায়।,"['খেলা', 'দেখা', '।']","['খেলা', 'দেখ', '।']"
তুমি আমায় ডাকে ছিলে?,তুমি কি আমায় ডাকছিলে?,"['আমায়', 'ডা', 'ছিল']","['আমায়', 'ডাকছিল']"
আমি বুঝি না বুঝতেছি।,আমি বুঝছি না।,"['বুঝি', 'বুঝতে', '।']","['বুঝ', '।']"
তারা গল্প করতেছে।,তারা গল্প করছে।,"['গল্প', 'করত', '।']","['গল্প', '।']"
সে পড়ে নাই পড়েছে।,সে পড়েনি।,"['পড়', 'না', 'পড়', '।']","['পড়েনি', '।']"
তুমি আমার বন্ধু ছিলা?,তুমি কি আমার বন্ধু ছিলে?,"['বন্ধু', 'ছিলা']","['বন্ধু', 'ছিল']"
আমরা একসাথে যাব না যাবে।,আমরা একসাথে যাব না।,"['একসাথ', 'যাব', '।']","['একসাথ', 'যাব', '।']"
তারা খাইতেছে না খায়।,তারা খাচ্ছে না।,"['খাইত', 'খায়', '।']","['খা', '।']"
আমি ঘুমাই নাই।,আমি ঘুমাইনি।,"['ঘুমা', 'না', '।']","['ঘুমাইনি', '।']"
তুমি কোথায় যাচ্ছো না থাকছো?,তুমি কোথায় যাচ্ছো না কোথায় থাকছো?,"['যাচ্ছো', 'থাকছো']","['যাচ্ছো', 'থাকছো']"
সে আজকে আইতেছে।,সে আজকে আসছে।,"['আজ', 'আইত', '।']","['আজ', 'আস', '।']"
তুমি পড়া করতেছো না খেলতেছো?,তুমি পড়ছো না খেলছো?,"['পড়া', 'করতেছো', 'খেলতেছো']","['পড়ছো', 'খেলছো']"
তারা বাইরে যাইতেছে।,তারা বাইরে যাচ্ছে।,"['যাইত', '।']","['যা', '।']"
আমি পানি খাইতেছি না খায়।,আমি পানি খাচ্ছি না।,"['পানি', 'খাইতে', 'খায়', '।']","['পানি', '।']"
তুমি কি বুঝতেছো না?,তুমি কি কিছু বুঝছো না?,['বুঝতেছো'],['বুঝছো']
সে ছবি তুলতেছে।,সে ছবি তুলছে।,"['ছ', 'তুলত', '।']","['ছ', 'তুল', '।']"
তারা নাচতেছে গান গাইতেছে।,তারা নাচছে আর গান গাইছে।,"['নাচত', 'গান', 'গাইত', '।']","['নাচ', 'আর', 'গান', 'গাই', '।']"
