incorrect	correct
তুমি বইটা পড়ছে?	তুমি কি বইটা পড়ছো?
আমি বাজারে গেলাম না যায়।	আমি বাজারে যাইনি।
সে ভালো খেলো করলো।	সে ভালো খেলেছে।
আমার তোমাকে দেখা হয়।	আমার তোমার সাথে দেখা হয়েছে।
আমি জল খাব। খাই।	আমি জল খাচ্ছি।
সে গাড়ি চলাইছে।	সে গাড়ি চালাচ্ছে।
তুমি এখানে আসে?	তুমি কি এখানে আসো?
আমি স্কুল যাইতে পারবো না।	আমি স্কুলে যেতে পারব না।
সে গান গাইতেছে।	সে গান গাইছে।
তুমি কবে আসছে?	তুমি কবে আসবে?
আমরা খেলা দেখা গেছিলাম।	আমরা খেলা দেখতে গিয়েছিলাম।
তোমার নাম কি আছো?	তোমার নাম কী?
সে সবসময় দেরি করতেছে।	সে সবসময় দেরি করছে।
আমরা সিনেমা দেখা যাই।	আমরা সিনেমা দেখতে যাই।
তারা বই পড়তেছে।	তারা বই পড়ছে।
আমি ভাত খাইতেছি।	আমি ভাত খাচ্ছি।
তুমি কোথায় গেছিলে?	তুমি কোথায় গিয়েছিলে।
সে আমায় দেখে ছিল।	সে আমায় দেখেছিল।
তারা বাজার গেছিল।	তারা বাজারে গিয়েছিল।
তুমি আমারে ভালো লাগো।	তুমি আমাকে ভালোবাসো।
তুমি বাস যায়।	তুমি বাসে যাও।
আমরা সিনেমা দেখা যায়।	আমরা সিনেমা দেখতে যাই।
আমি স্কুলে না যায়।	আমি স্কুলে যাই না।
সে কি করতেছে?	সে কী করছে?
তারা খেলা খেলতেছে।	তারা খেলা খেলছে।
তুমি আমাকে ফোন দিলা?	তুমি কি আমাকে ফোন করেছিলে?
আমি ভাত খাইয়া আসছি।	আমি ভাত খেয়ে এসেছি।
সে আজ আইছে না।	সে আজ আসেনি।
তোমার কথা ভাবি ছিলাম।	আমি তোমার কথা ভাবছিলাম।
আমরা একসাথে খাইতাম।	আমরা একসাথে খেতাম।
তুমি কাল আইছো?	তুমি কি কাল এসেছিলে?
তোমার বইটা পড়া হইছে?	তোমার বইটা পড়া হয়েছে।
সে খেলতে থাকছে।	সে খেলছে।
আমরা পড়ি থাকি।	আমরা পড়ছি।
তারা গাইতেছে গান।	তারা গান গাইছে।
আমি তোমাকে বলি নাই।	আমি তোমাকে বলিনি।
তুমি আমারে দেখো না।	তুমি আমাকে দেখো না।
সে ঘরে না যায়।	সে ঘরে যায় না।
তারা বন্ধু ছিলা।	তারা বন্ধু ছিল।
তুমি আজকে আইছো?	তুমি কি আজ এসেছো?
আমি কালকে যাব না যাব।	আমি কালকে যাব না।
তুমি কথা বলতেছে।	তুমি কথা বলছো।
সে আমায় ডাকে ছিল।	সে আমায় ডাকছিল।
তারা ঘুমাইতেছে।	তারা ঘুমাচ্ছে।
তুমি আমাকে দেখা পারো?	তুমি কি আমাকে দেখতে পারো?
আমি বাস ধরছি না পারছে।	আমি বাস ধরতে পারিনি।
সে ছবি আঁকতেছে।	সে ছবি আঁকছে।
তারা কোথা যাইতেছে।	তারা কোথায় যাচ্ছে?
তুমি এই কাজ করো না পারো?	তুমি কি এই কাজ করতে পারো না?
সে খেলতেছে না ঘুমাচ্ছে?	সে খেলছে না ঘুমাচ্ছে?
আমি খাইতেছি ভাত।	আমি ভাত খাচ্ছি।
তুমি বাসে যাইতেছিলে?	তুমি কি বাসে যাচ্ছিলে?
তারা আমারে বলছে নাই।	তারা আমাকে বলেনি।
সে আসতেছে না আসছে?	সে আসছে না কি?
আমি গান শুনতেছি।	আমি গান শুনছি।
তুমি পড়তেছো বইটা?	তুমি কি বইটা পড়ছো?
সে দৌড়াইতেছে।	সে দৌড়াচ্ছে।
তারা ঘুরতেছে।	তারা ঘুরছে।
আমি যেতে চাই না যাব।	আমি যেতে চাই না।
তুমি কোথায় থাকো ছিলে?	তুমি কোথায় ছিলে?
সে সব কিছু জানে না জানে।	সে সব কিছু জানে না।
তুমি আমাকে ভালো লাগে।	তুমি আমাকে ভালোবাসো।
তারা পড়ে না পড়ে।	তারা পড়ে না।
তুমি খাবার খাইছো?	তুমি কি খাবার খেয়েছো?
সে আসে নাই।	সে আসেনি।
আমি ভাত রান্না করতেছি।	আমি ভাত রান্না করছি।
তারা এখানে আসে।	তারা এখানে আসে।
তুমি আবার আইবা?	তুমি কি আবার আসবে?
আমি স্কুল যাইতেছি।	আমি স্কুলে যাচ্ছি।
তুমি কারে দেখলা?	তুমি কাকে দেখলে?
সে বসে আছে না শুয়ে?	সে বসে আছে না শুয়ে আছে?
তারা আমারে চিনে না চেনে।	তারা আমাকে চেনে না।
তুমি কবে যাইবা?	তুমি কবে যাবে?
আমরা খাওয়া শুরু করতেছি।	আমরা খাওয়া শুরু করেছি।
সে গান শুনতেছে না গাইতেছে?	সে গান শুনছে না গাইছে।
তারা খেলা দেখা যায়।	তারা খেলা দেখতে যায়।
তুমি আমায় ডাকে ছিলে?	তুমি কি আমায় ডাকছিলে?
আমি বুঝি না বুঝতেছি।	আমি বুঝছি না।
তারা গল্প করতেছে।	তারা গল্প করছে।
সে পড়ে নাই পড়েছে।	সে পড়েনি।
তুমি আমার বন্ধু ছিলা?	তুমি কি আমার বন্ধু ছিলে?
আমরা একসাথে যাব না যাবে।	আমরা একসাথে যাব না।
তারা খাইতেছে না খায়।	তারা খাচ্ছে না।
আমি ঘুমাই নাই।	আমি ঘুমাইনি।
তুমি কোথায় যাচ্ছো না থাকছো?	তুমি কোথায় যাচ্ছো না কোথায় থাকছো?
সে আজকে আইতেছে।	সে আজকে আসছে।
তুমি পড়া করতেছো না খেলতেছো?	তুমি পড়ছো না খেলছো?
তারা বাইরে যাইতেছে।	তারা বাইরে যাচ্ছে।
আমি পানি খাইতেছি না খায়।	আমি পানি খাচ্ছি না।
